epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
180,0.24204,0.21341,0.0279,0.02028,1.93,31,68,103,137,164
181,0.24204,0.21341,0.0297,0.02251,1.94,31,68,103,137,164
182,0.24204,0.21341,0.03133,0.0245,1.95,31,68,103,137,164
183,0.24204,0.21341,0.03248,0.02539,1.96,31,68,103,137,164
184,0.24217,0.21341,0.03347,0.02671,1.97,31,68,103,138,164
185,0.24231,0.21341,0.03412,0.02781,1.98,31,68,103,138,164
186,0.24231,0.21341,0.03468,0.02803,1.99,31,68,103,138,164
187,0.24272,0.21341,0.03572,0.02847,2.0,31,68,103,138,164
188,0.24299,0.21463,0.03657,0.03063,2.01,31,68,103,138,164
189,0.24353,0.21463,0.03779,0.03085,2.02,31,68,103,138,164
190,0.24407,0.21463,0.03897,0.03085,2.03,31,68,103,138,164
191,0.24434,0.21463,0.03976,0.03129,2.04,31,68,103,138,164
192,0.24488,0.21585,0.04076,0.03323,2.05,31,68,103,138,164
193,0.2461,0.21585,0.0431,0.03366,2.06,31,68,102,138,164
194,0.24705,0.21707,0.04489,0.03582,2.07,31,68,102,139,164
195,0.24854,0.22073,0.0476,0.0414,2.08,31,68,102,139,164
196,0.25017,0.22195,0.05037,0.04333,2.09,31,68,102,139,164
197,0.25193,0.22195,0.05336,0.04355,2.1,31,68,102,139,164
198,0.25329,0.22195,0.05567,0.04398,2.11,31,68,102,139,164
199,0.25451,0.22195,0.05765,0.04419,2.12,31,68,102,139,164
200,0.25586,0.22317,0.05985,0.04612,2.13,31,68,102,139,164
201,0.25695,0.22317,0.06157,0.04634,2.14,31,68,102,139,164
202,0.25776,0.22317,0.06299,0.04634,2.16,31,68,102,139,164
203,0.25871,0.22561,0.06451,0.04976,2.17,31,68,102,139,164
204,0.25979,0.22683,0.06633,0.05168,2.18,31,68,102,139,164
205,0.26074,0.22927,0.06785,0.05509,2.19,31,68,102,139,164
206,0.26101,0.22927,0.06832,0.05531,2.2,31,68,102,139,164
207,0.2621,0.23171,0.07009,0.05893,2.21,31,68,102,139,164
208,0.26331,0.23171,0.07215,0.05914,2.23,31,68,102,139,164
209,0.26481,0.23537,0.07435,0.06446,2.24,31,68,102,139,164
210,0.26684,0.23537,0.07744,0.06446,2.25,31,68,102,139,164
211,0.2686,0.23537,0.08016,0.06446,2.26,31,68,102,139,164
212,0.2709,0.2378,0.08339,0.06786,2.27,31,68,102,139,164
213,0.27876,0.24634,0.09359,0.07911,2.29,31,68,101,139,164
214,0.29408,0.25732,0.11257,0.093,2.3,31,68,101,139,164
215,0.32105,0.28171,0.14563,0.12188,2.31,31,68,101,139,164
216,0.3514,0.30244,0.18234,0.14681,2.32,31,68,101,139,164
217,0.36252,0.30122,0.19363,0.14319,2.33,31,68,101,140,164
218,0.35967,0.30244,0.18817,0.1424,2.34,31,68,101,140,164
219,0.36075,0.30732,0.1885,0.14767,2.36,31,68,101,140,164
220,0.36252,0.31585,0.19062,0.1578,2.37,31,68,101,140,164
221,0.36441,0.31707,0.1932,0.15939,2.38,31,68,101,140,164
222,0.36441,0.31707,0.1935,0.15967,2.39,31,68,101,140,164
223,0.36441,0.31707,0.19375,0.15981,2.4,31,68,101,140,164
224,0.36441,0.31707,0.19401,0.15981,2.41,31,68,101,140,164
225,0.36455,0.31707,0.1943,0.15981,2.42,31,68,101,140,164
226,0.36455,0.31707,0.1944,0.15994,2.43,31,68,101,140,164
227,0.36455,0.31707,0.19453,0.16008,2.44,31,68,101,140,164
228,0.36455,0.31707,0.19469,0.16008,2.45,31,68,101,140,164
229,0.36455,0.31707,0.19477,0.16008,2.46,31,68,101,140,164
230,0.36455,0.31707,0.19482,0.16022,2.47,31,68,101,140,164
231,0.36455,0.31707,0.19489,0.1605,2.48,31,68,101,140,164
232,0.36455,0.31707,0.19491,0.1605,2.49,31,68,101,140,164
233,0.36455,0.31707,0.19505,0.16063,2.5,31,68,101,140,164
234,0.36455,0.31707,0.19512,0.16077,2.52,31,68,101,140,164
235,0.36441,0.31707,0.1951,0.16105,2.53,31,68,101,140,164
236,0.36441,0.31707,0.19514,0.16105,2.54,31,68,101,140,164
237,0.36441,0.31707,0.19526,0.16105,2.55,31,68,101,140,164
238,0.36441,0.31707,0.19536,0.16105,2.56,31,68,101,140,164
239,0.36441,0.31707,0.19547,0.16119,2.57,31,68,101,140,164
240,0.36441,0.31707,0.19557,0.16132,2.58,31,68,101,140,164
241,0.36441,0.31707,0.19567,0.16132,2.59,31,68,101,140,164
242,0.36441,0.31707,0.19577,0.16146,2.6,31,68,101,140,164
243,0.36441,0.31707,0.19592,0.16146,2.61,31,68,101,140,164
244,0.36441,0.31707,0.19601,0.1616,2.62,31,68,101,140,164
245,0.36441,0.31707,0.19606,0.1616,2.63,31,68,101,140,164
246,0.36441,0.31707,0.19616,0.1616,2.64,31,68,101,140,164
247,0.36441,0.31707,0.19623,0.16174,2.66,31,68,101,140,164
248,0.36441,0.31707,0.19626,0.16174,2.67,31,68,101,141,164
249,0.36441,0.31707,0.19633,0.16188,2.68,31,68,101,141,164
250,0.36441,0.31707,0.19641,0.16188,2.69,31,68,101,141,164
251,0.36441,0.31707,0.19652,0.16215,2.7,31,68,101,141,164
252,0.36428,0.31707,0.19645,0.16229,2.71,31,68,101,141,164
253,0.36428,0.31707,0.19655,0.16229,2.72,31,68,101,141,164
254,0.36414,0.31707,0.19644,0.16229,2.73,31,68,101,141,164
255,0.36414,0.31707,0.19649,0.16243,2.74,31,68,101,141,164
256,0.36414,0.31707,0.19654,0.16243,2.75,31,68,101,141,164
257,0.36414,0.31707,0.19656,0.16243,2.76,31,68,101,141,164
258,0.36401,0.31707,0.19645,0.16243,2.77,31,68,101,141,164
259,0.36401,0.31707,0.19653,0.16256,2.78,31,68,101,141,164
260,0.36387,0.31707,0.19646,0.16256,2.79,31,68,101,141,164
261,0.36387,0.31707,0.19656,0.16256,2.8,31,68,101,141,164
262,0.36387,0.31707,0.19665,0.16284,2.81,31,68,101,141,164
263,0.36387,0.31707,0.19675,0.16298,2.82,31,68,101,141,164
264,0.36387,0.31707,0.19682,0.16298,2.83,31,68,101,141,164
265,0.36387,0.31707,0.19687,0.16298,2.84,31,68,101,141,164
266,0.36387,0.31707,0.19696,0.16311,2.86,31,68,101,141,164
267,0.36387,0.31707,0.197,0.16352,2.87,31,68,101,141,164
268,0.36387,0.31707,0.1971,0.16352,2.88,31,68,101,141,164
