epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
142,0.36238,0.32073,0.1978,0.16514,3.88,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
143,0.36238,0.32073,0.1978,0.16514,3.91,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
144,0.36238,0.32073,0.1978,0.16514,3.94,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
145,0.36238,0.32073,0.1978,0.16514,3.97,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
146,0.36238,0.32073,0.1978,0.16514,3.99,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
147,0.36238,0.32073,0.1978,0.16514,4.02,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,181,188
148,0.36238,0.32073,0.1978,0.16514,4.05,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
149,0.36238,0.32073,0.1978,0.16514,4.07,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
150,0.36238,0.32073,0.1978,0.16514,4.1,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
151,0.36238,0.32073,0.1978,0.16514,4.13,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
152,0.36238,0.32073,0.1978,0.16514,4.16,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
153,0.36238,0.32073,0.1978,0.16514,4.18,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
154,0.36238,0.32073,0.1978,0.16514,4.21,9,20,28,39,45,56,65,79,86,93,103,110,126,137,142,149,160,169,182,188
155,0.36238,0.32073,0.1978,0.16514,4.23,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
156,0.36238,0.32073,0.1978,0.16514,4.26,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
157,0.36238,0.32073,0.1978,0.16514,4.28,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
158,0.36238,0.32073,0.19782,0.16514,4.31,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
159,0.36238,0.32073,0.19783,0.16514,4.34,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
160,0.36238,0.32073,0.19783,0.16514,4.36,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
161,0.36238,0.32073,0.19783,0.16514,4.39,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
162,0.36238,0.32073,0.19783,0.16514,4.41,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
163,0.36238,0.32073,0.19783,0.16514,4.44,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
164,0.36238,0.32073,0.19783,0.16514,4.47,9,20,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
165,0.36238,0.32073,0.19783,0.16514,4.49,9,21,28,39,45,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
166,0.36238,0.32073,0.19783,0.16514,4.52,9,21,28,39,46,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
167,0.36238,0.32073,0.19783,0.16514,4.54,9,21,28,39,46,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
168,0.36238,0.32073,0.19786,0.16514,4.57,9,21,28,39,46,56,65,79,86,93,103,110,126,138,142,149,160,169,182,188
169,0.36238,0.32073,0.19793,0.16514,4.6,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
170,0.36238,0.32073,0.19793,0.16514,4.62,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
171,0.36238,0.32073,0.19799,0.16514,4.65,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
172,0.36238,0.32073,0.19802,0.16514,4.67,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
173,0.36238,0.32073,0.19805,0.16528,4.7,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
174,0.36238,0.32073,0.19806,0.16528,4.73,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
175,0.36224,0.32073,0.19792,0.16557,4.75,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
176,0.36211,0.32073,0.19779,0.16557,4.78,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
177,0.36211,0.32073,0.19785,0.16557,4.8,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
178,0.36211,0.32073,0.19788,0.16557,4.83,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
179,0.36211,0.32073,0.19792,0.16557,4.85,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
180,0.36211,0.32073,0.19793,0.16557,4.88,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
181,0.36224,0.32073,0.19813,0.16557,4.91,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
182,0.36224,0.32073,0.19815,0.16557,4.93,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
183,0.36224,0.32317,0.19819,0.16864,4.96,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
184,0.36252,0.32317,0.19863,0.16864,4.98,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
185,0.36292,0.32317,0.19918,0.16864,5.01,9,21,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
186,0.36306,0.32317,0.19941,0.16864,5.04,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
187,0.36319,0.32439,0.19968,0.17022,5.06,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
188,0.3636,0.32439,0.20026,0.17022,5.09,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
189,0.36387,0.32439,0.20073,0.17022,5.12,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
190,0.36373,0.32439,0.20062,0.17026,5.15,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
191,0.36401,0.32439,0.20106,0.1703,5.17,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
192,0.36414,0.32439,0.20132,0.1703,5.2,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
193,0.36428,0.32439,0.20153,0.17041,5.22,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
194,0.36468,0.32439,0.20214,0.17041,5.25,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
195,0.36468,0.32439,0.20224,0.1706,5.27,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
196,0.36563,0.32439,0.20359,0.17078,5.3,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
197,0.36577,0.32439,0.20388,0.17081,5.33,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
198,0.36631,0.32561,0.20469,0.17235,5.35,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
199,0.36699,0.32561,0.20562,0.17239,5.38,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
200,0.36739,0.32561,0.20632,0.17239,5.4,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
201,0.36766,0.32561,0.20678,0.17239,5.43,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
202,0.36794,0.32561,0.20725,0.17239,5.45,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
203,0.36834,0.32561,0.2079,0.17257,5.48,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
204,0.36888,0.32561,0.20873,0.17293,5.5,9,22,28,39,46,56,65,79,86,93,103,110,126,139,142,149,160,169,182,188
