epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
158,0.23811,0.21707,0.0,0.0,2.48,20,32,56,73,92,108,124,142,164,183
159,0.23811,0.21707,0.0,0.0,2.49,20,32,56,73,92,108,124,142,164,183
160,0.23811,0.21707,0.0,0.0,2.51,20,32,56,73,92,108,124,142,164,183
161,0.23811,0.21707,0.0,0.0,2.52,20,32,56,73,92,108,124,142,164,183
162,0.23811,0.21707,0.0,0.0,2.54,20,32,56,73,92,108,124,142,164,183
163,0.23811,0.21707,0.0,0.0,2.55,20,32,56,73,92,108,124,142,164,183
164,0.23811,0.21707,0.0,0.0,2.57,20,32,56,73,92,108,124,142,164,183
165,0.23811,0.21707,0.0,0.0,2.59,20,32,56,73,92,108,124,142,164,183
166,0.23811,0.21707,0.0,0.0,2.6,20,32,56,73,92,108,124,142,164,183
167,0.23811,0.21707,0.0,0.0,2.62,20,32,56,73,92,108,124,142,164,183
168,0.23811,0.21707,0.0,0.0,2.63,20,32,56,73,92,108,124,142,164,183
169,0.23811,0.21707,0.0,0.0,2.65,20,32,56,73,92,108,124,142,164,183
170,0.23811,0.21707,0.0,0.0,2.66,20,32,56,73,92,108,124,142,164,183
171,0.23811,0.21707,0.0,0.0,2.68,20,32,56,73,92,108,124,142,164,183
172,0.23811,0.21707,0.0,0.0,2.69,20,32,56,73,92,108,124,142,164,183
173,0.23811,0.21707,0.0,0.0,2.71,20,32,56,73,92,108,124,142,164,183
174,0.23811,0.21707,0.0,0.0,2.72,20,32,56,73,92,108,124,142,164,183
175,0.23811,0.21707,0.0,0.0,2.74,20,32,56,73,92,108,124,142,164,183
176,0.23811,0.21707,0.0,0.0,2.75,20,32,56,73,92,108,124,142,164,183
177,0.23811,0.21707,0.0,0.0,2.77,20,32,56,73,92,108,124,142,164,183
178,0.23811,0.21707,0.0,0.0,2.78,20,32,56,73,92,108,124,142,164,183
179,0.23811,0.21707,0.0,0.0,2.8,20,32,56,73,92,108,124,142,164,183
180,0.23811,0.21707,0.0,0.0,2.81,20,32,56,73,92,108,124,142,164,183
181,0.23879,0.21829,0.00099,0.00173,2.83,20,32,56,73,92,108,124,142,164,183
182,0.24231,0.22195,0.00617,0.00693,2.84,20,31,56,73,92,108,124,142,164,183
183,0.25532,0.23049,0.02536,0.01939,2.86,20,31,56,73,92,108,124,142,164,183
184,0.28053,0.2561,0.06277,0.05618,2.87,20,31,56,73,92,108,124,142,164,183
185,0.30573,0.27073,0.10001,0.07782,2.89,20,31,56,73,92,108,124,142,164,183
186,0.32809,0.28537,0.13311,0.09979,2.9,20,31,56,73,92,108,125,142,164,183
187,0.34246,0.29268,0.15418,0.11087,2.92,20,31,56,73,92,108,125,142,164,183
