epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
77,0.35624,0.35315,0.00485,-0.00368,2.87,5,9,13,18,22,24,31,33,38,41,47,49,54,57,61,64,72,74,80,86,87,90,94,98,106,108,112,117,121,125
78,0.35544,0.34955,0.00542,-0.00726,2.9,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,86,87,90,94,98,106,108,112,117,121,125
79,0.35624,0.34775,0.0077,-0.00838,2.94,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,86,87,89,94,98,106,108,112,117,121,125
80,0.35564,0.34054,0.00758,-0.01795,2.97,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,86,87,89,94,98,106,108,112,117,121,125
81,0.35684,0.33514,0.01008,-0.02471,3.0,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,86,87,89,94,98,106,108,112,117,121,125
82,0.35584,0.32973,0.00906,-0.03078,3.04,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,86,87,89,94,98,106,108,112,117,121,125
83,0.35504,0.33153,0.00852,-0.02723,3.07,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,108,112,117,121,125
84,0.35464,0.32973,0.00842,-0.02955,3.1,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
85,0.35304,0.32793,0.007,-0.03198,3.14,5,9,13,18,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
86,0.35203,0.32432,0.00624,-0.03683,3.17,5,9,13,19,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
87,0.35243,0.32252,0.00761,-0.03891,3.2,5,9,13,19,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
88,0.35263,0.32252,0.00903,-0.03801,3.24,5,9,13,19,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
89,0.35304,0.32613,0.0109,-0.03048,3.27,5,9,13,19,22,24,32,33,38,41,47,49,54,57,61,64,72,74,80,87,87,89,94,98,106,107,112,117,121,125
90,0.35304,0.32432,0.01225,-0.032,3.3,5,9,13,19,22,24,32,33,38,41,47,49,54,57,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
91,0.35203,0.32072,0.01231,-0.03583,3.34,5,9,13,19,23,24,32,33,38,41,47,49,54,57,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
92,0.35304,0.32072,0.01576,-0.03504,3.37,5,9,13,19,23,24,32,33,38,41,47,49,54,57,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
93,0.35344,0.31532,0.01874,-0.04048,3.41,5,9,13,19,23,24,32,33,38,41,47,49,54,56,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
94,0.35484,0.31351,0.02321,-0.04189,3.45,5,9,13,19,23,24,32,33,38,41,47,49,55,56,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
95,0.35724,0.31351,0.02941,-0.04054,3.49,5,9,14,19,23,24,32,33,38,41,47,49,55,56,61,64,73,74,80,87,87,89,94,98,106,107,112,117,121,125
96,0.36065,0.32432,0.03734,-0.02002,3.53,5,9,14,19,23,24,32,33,38,41,47,49,55,56,61,63,73,74,81,87,87,89,94,98,106,107,112,117,121,125
97,0.36245,0.32252,0.04288,-0.02013,3.57,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,74,81,87,87,89,94,98,106,107,112,117,121,125
98,0.36626,0.32613,0.05088,-0.01298,3.6,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,74,81,87,87,89,94,98,106,107,112,117,121,125
99,0.36967,0.32613,0.05821,-0.00955,3.64,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,73,81,87,87,89,94,98,106,107,112,117,121,125
100,0.37287,0.33153,0.06551,0.00181,3.68,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,73,81,87,87,89,94,98,106,107,112,117,121,125
101,0.37487,0.33333,0.07053,0.00703,3.72,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,73,81,87,87,89,93,98,106,107,112,117,121,125
102,0.37788,0.33874,0.07728,0.01786,3.76,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,73,73,81,87,87,88,93,98,106,107,112,117,121,125
103,0.38229,0.34054,0.08592,0.02249,3.8,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,72,73,81,87,87,88,93,98,106,107,112,117,121,125
104,0.38569,0.34414,0.09246,0.03036,3.84,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,72,73,81,87,87,88,93,98,106,107,112,117,121,125
105,0.3883,0.34955,0.09819,0.03916,3.87,5,9,14,19,23,24,32,33,38,40,47,49,55,56,61,63,72,73,81,87,87,88,93,98,106,107,112,117,121,125
106,0.39291,0.34955,0.10669,0.04156,3.91,5,9,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
107,0.39531,0.35495,0.11133,0.05169,3.95,5,9,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
108,0.39772,0.35856,0.11588,0.05903,3.98,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
109,0.40232,0.36396,0.12373,0.06888,4.02,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
110,0.40633,0.37658,0.13115,0.08885,4.05,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
111,0.40934,0.38378,0.13658,0.10161,4.08,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,87,88,93,97,106,107,112,117,121,125
112,0.41274,0.38559,0.14261,0.10405,4.12,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
113,0.41635,0.38559,0.14879,0.10488,4.15,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
114,0.42036,0.39459,0.15542,0.11836,4.19,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
115,0.42276,0.3982,0.15942,0.12442,4.22,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
116,0.42496,0.3982,0.16344,0.12496,4.26,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
117,0.42657,0.4018,0.16675,0.13028,4.29,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,72,73,81,87,86,88,93,97,106,106,111,117,121,125
118,0.42837,0.40721,0.17001,0.13902,4.33,5,10,14,19,23,24,32,33,38,40,47,49,55,57,61,63,73,73,81,87,86,88,93,97,106,106,111,117,121,125
119,0.42977,0.40901,0.17241,0.14225,4.36,5,10,14,19,23,24,32,33,38,39,47,49,56,57,61,62,73,73,81,87,86,88,93,97,106,106,111,117,121,125
120,0.43037,0.41261,0.17364,0.1486,4.4,5,10,14,19,24,24,32,33,38,39,47,49,56,57,61,62,73,73,81,87,86,88,93,97,106,106,111,117,121,125
121,0.43037,0.41622,0.17393,0.15374,4.43,5,10,14,19,24,24,32,33,38,39,47,49,56,57,61,62,73,73,81,87,86,88,93,97,106,106,111,117,121,125
122,0.43298,0.41982,0.17811,0.15913,4.47,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,88,93,97,106,106,111,117,121,125
123,0.43458,0.41982,0.18066,0.15981,4.5,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,88,93,97,106,106,111,117,121,125
124,0.43659,0.42342,0.18382,0.16493,4.54,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,97,106,106,111,117,121,125
125,0.43799,0.42523,0.18607,0.16813,4.57,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,97,106,106,111,117,121,125
