epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
132,0.47025,0.47928,0.22826,0.24326,4.44,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
133,0.47225,0.48288,0.2314,0.24912,4.47,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
134,0.47485,0.48288,0.23541,0.24912,4.5,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,81,88,87,92,96,103,110,112,121,124
135,0.47746,0.48288,0.2394,0.24912,4.53,6,12,18,23,24,29,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
136,0.47906,0.48649,0.24196,0.25481,4.56,6,12,18,23,24,28,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
137,0.48006,0.48829,0.24357,0.25773,4.59,6,12,18,23,24,28,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
138,0.48287,0.48829,0.24808,0.25773,4.62,6,12,18,23,24,28,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
139,0.48547,0.49369,0.25208,0.26573,4.66,6,12,18,23,24,28,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
140,0.48708,0.4955,0.25459,0.26797,4.69,6,12,18,24,24,28,38,38,47,48,61,63,63,64,76,82,88,87,92,96,103,110,112,121,124
141,0.48908,0.4955,0.25749,0.26827,4.72,6,12,18,24,24,28,38,38,47,48,62,63,63,64,76,82,88,87,92,96,103,110,112,121,124
142,0.49108,0.4973,0.26044,0.27103,4.75,6,12,18,24,24,28,38,38,47,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
143,0.49289,0.5009,0.26305,0.27656,4.78,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
144,0.49409,0.5027,0.2647,0.27932,4.81,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
145,0.49549,0.5045,0.26688,0.28186,4.84,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
146,0.49629,0.50631,0.26824,0.28462,4.87,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
147,0.4973,0.50811,0.26979,0.28738,4.9,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
148,0.4981,0.50811,0.27117,0.28738,4.93,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,112,121,124
149,0.4991,0.50811,0.27279,0.28738,4.96,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,96,103,110,111,121,124
150,0.4995,0.50631,0.27348,0.28462,5.0,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,95,103,110,111,121,124
151,0.4995,0.50631,0.27357,0.28462,5.02,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,95,103,110,111,121,124
152,0.4997,0.50631,0.27393,0.28462,5.05,6,12,18,24,24,28,38,38,48,48,62,63,63,64,77,82,88,87,92,95,103,110,111,121,124
153,0.5003,0.50631,0.27508,0.28462,5.08,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
154,0.5005,0.50631,0.27538,0.28462,5.11,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
155,0.5009,0.50811,0.27606,0.2876,5.14,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
156,0.5009,0.50811,0.27613,0.2876,5.17,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
157,0.5013,0.50811,0.27674,0.2876,5.2,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
158,0.5023,0.50811,0.27828,0.2876,5.24,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
159,0.50311,0.50631,0.27953,0.28535,5.27,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
160,0.50411,0.51171,0.28106,0.29361,5.3,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
161,0.50671,0.51532,0.28517,0.29912,5.32,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
162,0.50811,0.51892,0.2873,0.30462,5.35,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,82,88,87,92,95,103,110,111,121,124
163,0.51072,0.52072,0.29135,0.30751,5.38,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,92,95,103,110,111,121,124
164,0.51132,0.52072,0.29235,0.30751,5.41,6,12,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
